rno	uno	sno	carno	seat
1	89	1	2	B01
2	38	1332	3	A05
3	15	3289	1	B01
4	19	1	1	D10
5	62	1970	4	A03
6	30	78	3	E10
7	24	3804	4	D09
8	53	2210	3	E05
9	53	870	2	D04
10	4	1133	2	D01
11	37	2652	1	B06
12	26	1	5	B04
13	18	2454	5	A09
14	68	2877	5	B07
15	76	2004	3	E02
16	51	232	2	B07
17	10	2781	2	D10
18	11	697	5	D03
19	63	1982	4	E02
20	39	655	4	D01
21	14	1	2	A08
22	82	1057	1	E02
23	6	661	2	E02
24	39	1604	4	D04
25	64	205	5	A06
26	39	1718	2	D09
27	78	119	4	D09
28	45	2132	5	E04
29	68	82	3	B04
30	17	2	4	A07
31	57	4201	2	A01
32	38	688	2	D08
33	36	2037	5	C06
34	26	2	2	A10
35	69	3803	3	C06
36	72	2	2	D10
37	29	636	5	A05
38	71	2227	2	B01
39	99	504	4	A09
40	57	2322	4	D03
41	90	999	5	B02
42	34	611	1	A06
43	62	3	1	D07
44	58	3638	5	B02
45	4	706	4	B04
46	60	3	2	A01
47	76	1744	2	A04
48	90	496	1	B04
49	73	2201	5	C04
50	22	1198	5	D04
51	93	2005	3	A02
52	79	3	5	A03
53	49	3996	2	D10
54	35	2567	3	D06
55	9	621	4	A04
56	90	537	1	C08
57	93	4851	1	D07
58	2	1401	2	B05
59	83	1801	2	C03
60	2	1151	5	B04
61	59	94	3	D03
62	27	851	4	D09
63	91	4044	1	C06
64	46	1372	1	B04
65	3	3898	3	D03
66	79	614	2	A09
67	35	3371	2	B08
68	70	1237	4	C04
69	84	3625	5	C05
70	94	2680	5	A06
71	61	764	4	B09
72	41	4853	4	D05
73	99	4119	3	B06
74	23	781	5	C06
75	56	4247	2	C05
76	67	3315	5	C03
77	34	3607	3	C01
78	32	2800	3	B05
79	63	4243	1	D02
80	90	4398	3	C04
81	59	1858	1	C02
82	88	3697	2	C01
83	21	1237	1	A06
84	43	998	1	A05
85	57	1270	1	C10
86	13	1556	5	B04
87	73	3589	4	C04
88	77	3550	2	D06
