sa_no	start_date	end_date	sa_sale	p_no
1	2025-03-31	2025-04-02	10	2
2	2025-04-01	2025-04-03	25	7
3	2025-04-02	2025-04-04	5	8
4	2025-04-03	2025-04-05	15	10
5	2025-04-04	2025-04-06	20	15
6	2025-04-05	2025-04-07	30	18
7	2025-04-06	2025-04-07	35	21
8	2025-03-31	2025-04-04	10	25
9	2025-04-01	2025-04-04	40	33
10	2025-04-02	2025-04-05	45	37
11	2025-04-03	2025-04-06	20	42
12	2025-04-04	2025-04-07	55	51
13	2025-04-05	2025-04-06	10	66
14	2025-04-06	2025-04-07	5	69
15	2025-03-31	2025-04-02	20	72
16	2025-04-01	2025-04-05	10	83
17	2025-04-02	2025-04-06	35	94
18	2025-04-03	2025-04-07	40	103
19	2025-04-04	2025-04-06	25	110
20	2025-04-05	2025-04-05	10	158
