pu_no	pu_date	p_no	u_no	pu_S	pu_M	pu_L	pu_XL
1	2024-02-16	55	9	3	5	4	0
2	2024-07-21	42	1	1	3	1	3
3	2024-07-02	33	30	5	3	0	2
4	2024-02-26	27	26	4	2	0	3
5	2024-05-18	50	24	2	1	5	5
6	2024-05-28	30	7	1	1	2	4
7	2024-03-07	14	21	5	2	0	3
8	2024-08-16	62	2	0	0	1	0
9	2024-11-17	9	8	1	3	0	0
10	2024-08-28	73	19	4	1	5	1
11	2024-08-28	49	11	5	1	4	1
12	2024-09-26	7	25	5	4	3	3
13	2024-01-28	46	1	3	3	4	4
14	2024-07-03	69	19	1	3	3	3
15	2024-12-16	16	3	3	0	5	5
16	2024-09-14	39	23	2	0	3	1
17	2024-11-01	18	5	0	4	5	3
18	2024-09-11	27	23	4	3	2	3
19	2024-08-06	73	5	5	4	0	2
20	2024-12-30	8	20	0	1	5	1
21	2024-01-16	65	12	4	0	5	5
22	2024-02-06	69	9	1	4	1	3
23	2024-11-27	44	21	1	0	2	5
24	2024-11-14	37	3	3	0	3	5
25	2024-11-12	1	5	3	3	3	1
26	2024-10-06	62	22	4	2	1	3
27	2024-05-09	10	1	3	4	3	5
28	2024-08-07	45	2	4	3	5	1
29	2024-03-27	10	21	4	2	1	0
30	2024-01-18	61	12	0	2	0	2
31	2024-06-15	40	20	3	5	5	2
32	2024-05-08	72	4	5	3	4	2
33	2024-03-11	47	24	5	4	2	5
34	2024-01-12	11	19	5	4	1	4
35	2024-11-17	18	6	1	5	1	5
36	2024-03-01	1	8	5	1	2	3
37	2024-03-19	46	28	5	3	3	3
38	2024-08-14	52	8	2	2	5	1
39	2024-01-05	24	27	5	2	0	1
40	2024-08-22	58	21	2	4	3	2
41	2024-07-08	19	16	2	5	4	3
42	2024-12-25	17	7	3	1	1	2
43	2024-05-03	49	30	3	3	4	4
44	2024-03-10	72	25	1	4	0	2
45	2024-08-10	21	21	3	2	5	1
46	2024-03-07	52	22	2	4	1	2
47	2024-04-18	43	30	2	1	4	3
48	2024-12-28	1	28	3	1	4	0
49	2024-02-25	22	1	2	1	0	2
50	2024-02-12	14	19	3	1	2	3
51	2024-09-20	64	19	0	0	4	5
52	2024-04-15	48	20	5	4	1	1
53	2024-05-13	20	12	0	4	2	1
54	2024-03-09	9	30	0	4	4	3
55	2024-12-08	61	9	0	0	1	5
56	2024-07-25	16	26	2	2	5	2
57	2024-10-29	1	6	5	3	4	3
58	2024-08-06	14	4	3	4	4	2
59	2024-05-01	15	28	5	1	2	4
60	2024-07-31	1	3	1	2	1	3
61	2024-07-25	34	27	5	2	0	5
62	2024-08-19	11	27	3	1	2	5
63	2024-08-21	67	29	0	3	4	1
64	2024-04-12	30	9	5	2	2	5
65	2024-07-31	53	4	3	0	2	2
66	2024-10-24	20	12	3	4	2	3
67	2024-05-10	50	25	5	4	3	5
68	2024-08-19	32	1	5	4	0	3
69	2024-12-22	72	28	0	0	5	3
70	2024-06-06	67	8	1	0	1	2
71	2024-03-11	52	19	5	5	1	2
72	2024-10-13	72	26	2	3	5	5
73	2024-09-22	1	2	4	4	3	0
74	2024-07-22	41	20	3	3	1	1
75	2024-06-07	68	7	3	1	0	0
76	2024-11-25	26	29	0	3	5	0
77	2024-06-02	28	13	3	4	3	3
78	2024-05-23	57	2	5	0	1	2
79	2024-09-06	4	21	3	1	0	3
80	2024-12-19	1	19	5	2	5	4
81	2024-01-02	29	13	3	3	4	5
82	2024-06-21	1	23	4	0	4	2
83	2024-08-31	51	26	3	3	0	5
84	2024-02-24	17	8	1	1	0	2
85	2024-09-14	18	24	3	3	0	1
86	2024-10-03	48	11	2	1	2	0
87	2024-05-30	51	5	2	4	3	4
88	2024-04-29	11	5	0	1	5	5
89	2024-03-08	25	13	0	2	4	4
90	2024-08-17	33	21	5	2	3	3
91	2024-08-07	22	25	5	2	0	2
92	2024-08-21	14	19	1	3	0	4
93	2024-06-16	1	13	3	2	5	1
94	2024-10-21	58	8	4	0	0	1
95	2024-10-28	57	29	1	5	4	2
96	2024-06-27	24	24	3	5	4	1
97	2024-01-31	2	9	5	3	0	2
98	2024-03-13	59	30	1	4	5	0
99	2024-04-15	8	25	1	1	1	2
100	2024-08-27	39	11	5	3	4	3
