s_no	p_no	u_no	p_s	p_m	p_l	p_xl
1	175	30	1	2	0	0
2	55	1	0	0	1	2
3	93	4	0	3	0	0
4	148	28	3	2	0	1
5	198	1	1	0	1	3
6	145	10	2	1	1	4
7	46	9	1	0	1	0
8	15	1	3	0	0	2
9	130	1	2	0	0	3
10	128	2	0	2	0	1
11	165	2	3	0	2	0
12	151	3	0	3	2	1
13	134	1	0	1	2	0
14	81	15	1	0	3	2
15	27	19	2	3	1	0
16	186	8	1	1	0	2
17	65	22	0	0	0	2
18	96	5	1	2	3	1
19	173	18	2	1	1	1
20	133	24	1	0	3	0
21	192	12	1	2	1	2
22	184	16	0	0	2	3
23	153	23	1	0	0	2
24	94	4	2	1	0	2
25	134	12	3	1	2	0
26	148	5	0	0	3	0
27	106	17	3	0	1	2
28	54	13	1	0	2	1
29	135	20	0	3	1	2
30	141	10	0	2	1	0
31	10	9	3	3	0	4
32	155	7	0	1	0	1
33	83	24	1	0	4	1
34	6	11	3	0	0	3
35	199	29	1	0	3	0
36	26	25	2	1	3	1
37	197	22	3	1	4	2
38	77	8	0	0	3	4
39	79	5	1	3	4	1
40	138	12	1	0	3	2
41	117	21	1	3	0	4
42	17	3	0	0	2	0
43	150	10	0	0	2	1
44	88	25	3	0	0	1
45	50	26	3	0	1	0
46	63	11	2	1	3	2
47	198	6	2	3	1	1
48	125	14	1	0	0	2
49	66	27	0	0	1	0
50	136	14	0	2	0	1
