pu_no	pu_date	p_no	u_no	pu_S	pu_M	pu_L	pu_XL
1	2025-02-16	55	9	3	5	4	0
2	2025-07-21	42	1	1	3	1	3
3	2025-07-02	33	30	5	3	0	2
4	2025-02-26	27	26	4	2	0	3
5	2025-05-18	50	24	2	1	5	5
6	2025-05-28	30	7	1	1	2	4
7	2025-03-07	14	21	5	2	0	3
8	2025-08-16	62	2	0	0	1	0
9	2025-11-17	9	8	1	3	0	0
10	2025-08-28	73	19	4	1	5	1
11	2025-08-28	49	11	5	1	4	1
12	2025-09-26	7	25	5	4	3	3
13	2025-01-28	46	1	3	3	4	4
14	2025-07-03	69	19	1	3	3	3
15	2025-12-16	16	3	3	0	5	5
16	2025-09-14	39	23	2	0	3	1
17	2025-11-01	18	5	0	4	5	3
18	2025-09-11	27	23	4	3	2	3
19	2025-08-06	73	5	5	4	0	2
20	2025-12-30	8	20	0	1	5	1
21	2025-01-16	65	12	4	0	5	5
22	2025-02-06	69	9	1	4	1	3
23	2025-11-27	44	21	1	0	2	5
24	2025-11-14	37	3	3	0	3	5
25	2025-11-12	1	5	3	3	3	1
26	2025-10-06	62	22	4	2	1	3
27	2025-05-09	10	1	3	4	3	5
28	2025-08-07	45	2	4	3	5	1
29	2025-03-27	10	21	4	2	1	0
30	2025-01-18	61	12	0	2	0	2
31	2025-06-15	40	20	3	5	5	2
32	2025-05-08	72	4	5	3	4	2
33	2025-03-11	47	24	5	4	2	5
34	2025-01-12	11	19	5	4	1	4
35	2025-11-17	18	6	1	5	1	5
36	2025-03-01	1	8	5	1	2	3
37	2025-03-19	46	28	5	3	3	3
38	2025-08-14	52	8	2	2	5	1
39	2025-01-05	24	27	5	2	0	1
40	2025-08-22	58	21	2	4	3	2
41	2025-07-08	19	16	2	5	4	3
42	2025-12-25	17	7	3	1	1	2
43	2025-05-03	49	30	3	3	4	4
44	2025-03-10	72	25	1	4	0	2
45	2025-08-10	21	21	3	2	5	1
46	2025-03-07	52	22	2	4	1	2
47	2025-04-18	43	30	2	1	4	3
48	2025-12-28	1	28	3	1	4	0
49	2025-02-25	22	1	2	1	0	2
50	2025-02-12	14	19	3	1	2	3
51	2025-09-20	64	19	0	0	4	5
52	2025-04-15	48	20	5	4	1	1
53	2025-05-13	20	12	0	4	2	1
54	2025-03-09	9	30	0	4	4	3
55	2025-12-08	61	9	0	0	1	5
56	2025-07-25	16	26	2	2	5	2
57	2025-10-29	1	6	5	3	4	3
58	2025-08-06	14	4	3	4	4	2
59	2025-05-01	15	28	5	1	2	4
60	2025-07-31	1	3	1	2	1	3
61	2025-07-25	34	27	5	2	0	5
62	2025-08-19	11	27	3	1	2	5
63	2025-08-21	67	29	0	3	4	1
64	2025-04-12	30	9	5	2	2	5
65	2025-07-31	53	4	3	0	2	2
66	2025-10-24	20	12	3	4	2	3
67	2025-05-10	50	25	5	4	3	5
68	2025-08-19	32	1	5	4	0	3
69	2025-12-22	72	28	0	0	5	3
70	2025-06-06	67	8	1	0	1	2
71	2025-03-11	52	19	5	5	1	2
72	2025-10-13	72	26	2	3	5	5
73	2025-09-22	1	2	4	4	3	0
74	2025-07-22	41	20	3	3	1	1
75	2025-06-07	68	7	3	1	0	0
76	2025-11-25	26	29	0	3	5	0
77	2025-06-02	28	13	3	4	3	3
78	2025-05-23	57	2	5	0	1	2
79	2025-09-06	4	21	3	1	0	3
80	2025-12-19	1	19	5	2	5	4
81	2025-01-02	29	13	3	3	4	5
82	2025-06-21	1	23	4	0	4	2
83	2025-08-31	51	26	3	3	0	5
84	2025-02-24	17	8	1	1	0	2
85	2025-09-14	18	24	3	3	0	1
86	2025-10-03	48	11	2	1	2	0
87	2025-05-30	51	5	2	4	3	4
88	2025-04-29	11	5	0	1	5	5
89	2025-03-08	25	13	0	2	4	4
90	2025-08-17	33	21	5	2	3	3
91	2025-08-07	22	25	5	2	0	2
92	2025-08-21	14	19	1	3	0	4
93	2025-06-16	1	13	3	2	5	1
94	2025-10-21	58	8	4	0	0	1
95	2025-10-28	57	29	1	5	4	2
96	2025-06-27	24	24	3	5	4	1
97	2025-01-31	2	9	5	3	0	2
98	2025-03-13	59	30	1	4	5	0
99	2025-04-15	8	25	1	1	1	2
100	2025-08-27	39	11	5	3	4	3
